city,date,temperature_max,temperature_min,precipitation,fetched_at
Tallahassee,2026-04-08,23.4,14.1,0.0,2026-04-08 18:08:28
Tallahassee,2026-04-09,25.5,12.4,0.0,2026-04-08 18:08:28
Tallahassee,2026-04-10,27.4,14.6,0.0,2026-04-08 18:08:28
Tallahassee,2026-04-11,28.3,13.4,0.0,2026-04-08 18:08:28
Tallahassee,2026-04-12,29.7,13.4,0.0,2026-04-08 18:08:28
Tallahassee,2026-04-13,28.1,14.3,0.0,2026-04-08 18:08:28
Tallahassee,2026-04-14,29.1,15.3,0.0,2026-04-08 18:08:28
Miami,2026-04-08,26.3,19.6,3.0,2026-04-08 18:08:28
Miami,2026-04-09,25.1,20.7,4.6,2026-04-08 18:08:28
Miami,2026-04-10,25.2,20.0,10.85,2026-04-08 18:08:28
Miami,2026-04-11,24.5,22.8,0.8,2026-04-08 18:08:28
Miami,2026-04-12,25.2,23.0,2.1,2026-04-08 18:08:28
Miami,2026-04-13,25.4,23.1,0.0,2026-04-08 18:08:28
Miami,2026-04-14,25.9,23.6,0.0,2026-04-08 18:08:28
Orlando,2026-04-08,22.0,17.2,4.5,2026-04-08 18:08:28
Orlando,2026-04-09,23.9,17.9,1.1,2026-04-08 18:08:28
Orlando,2026-04-10,25.5,17.4,0.0,2026-04-08 18:08:28
Orlando,2026-04-11,26.6,19.5,0.0,2026-04-08 18:08:28
Orlando,2026-04-12,28.1,17.8,0.0,2026-04-08 18:08:28
Orlando,2026-04-13,28.6,17.8,0.0,2026-04-08 18:08:28
Orlando,2026-04-14,29.5,19.4,0.0,2026-04-08 18:08:28
